reason='BAD_ANTENNA' correlation='RR' mode='manual' antenna='1' scan='1'
reason='BAD_ANTENNA' correlation='RR' mode='manual' antenna='1' scan='7'
reason='BAD_ANTENNA' correlation='LL' mode='manual' antenna='1' scan='1'
reason='BAD_ANTENNA' correlation='LL' mode='manual' antenna='1' scan='7'
reason='BAD_ANTENNA' correlation='RR' mode='manual' antenna='18' scan='1'
reason='BAD_ANTENNA' correlation='LL' mode='manual' antenna='18' scan='1'
reason='BAD_ANTENNA' correlation='RR' mode='manual' antenna='1' scan='1,2,3,4,5,6,7'
reason='BAD_ANTENNA' correlation='LL' mode='manual' antenna='1' scan='1,2,3,4,5,6,7'
antenna='23&25' scan='2' timerange='2016/05/14/05:16:01~2016/05/14/05:17:39' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='6&11' scan='2' timerange='2016/05/14/05:16:01~2016/05/14/05:17:39' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='2&8' scan='2' timerange='2016/05/14/05:11:59~2016/05/14/05:14:26' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='2&8' scan='2' timerange='2016/05/14/05:13:20~2016/05/14/05:15:47' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='2&8' scan='2' timerange='2016/05/14/05:14:40~2016/05/14/05:17:07' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='2&8' scan='2' timerange='2016/05/14/05:16:01~2016/05/14/05:17:39' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='5&23' scan='2' timerange='2016/05/14/05:16:01~2016/05/14/05:17:39' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='7&23' scan='2' timerange='2016/05/14/05:11:59~2016/05/14/05:14:26' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='7&23' scan='2' timerange='2016/05/14/05:13:20~2016/05/14/05:15:47' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='2&6' scan='2' timerange='2016/05/14/05:14:40~2016/05/14/05:17:07' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='2&6' scan='2' timerange='2016/05/14/05:16:01~2016/05/14/05:17:39' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='5&11' scan='2' timerange='2016/05/14/05:13:20~2016/05/14/05:15:47' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='5&11' scan='2' timerange='2016/05/14/05:14:40~2016/05/14/05:17:07' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='5&11' scan='2' timerange='2016/05/14/05:16:01~2016/05/14/05:17:39' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='10&23' scan='2' timerange='2016/05/14/05:14:40~2016/05/14/05:17:07' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='19&23' scan='2' timerange='2016/05/14/05:13:20~2016/05/14/05:15:47' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='12&23' scan='2' timerange='2016/05/14/05:11:59~2016/05/14/05:14:26' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='6&8' scan='2' timerange='2016/05/14/05:11:59~2016/05/14/05:14:26' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='6&8' scan='2' timerange='2016/05/14/05:13:20~2016/05/14/05:15:47' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='23&29' scan='2' timerange='2016/05/14/05:14:40~2016/05/14/05:17:07' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='23&29' scan='2' timerange='2016/05/14/05:16:01~2016/05/14/05:17:39' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='5&6' scan='4' timerange='2016/05/14/06:15:04~2016/05/14/06:17:31' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='5&6' scan='4' timerange='2016/05/14/06:16:25~2016/05/14/06:18:52' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='5&8' scan='4' timerange='2016/05/14/06:13:44~2016/05/14/06:16:11' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='5&8' scan='4' timerange='2016/05/14/06:15:04~2016/05/14/06:17:31' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='5&8' scan='4' timerange='2016/05/14/06:16:25~2016/05/14/06:18:52' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='5&8' scan='4' timerange='2016/05/14/06:17:45~2016/05/14/06:19:24' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='17&23' scan='4' timerange='2016/05/14/06:13:44~2016/05/14/06:16:11' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='17&23' scan='4' timerange='2016/05/14/06:15:04~2016/05/14/06:17:31' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='23&25' scan='4' timerange='2016/05/14/06:13:44~2016/05/14/06:16:11' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
